Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
43;1356048000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,268823453;8,913E-08;68,02521;1,31E-09;15,563569
44;1387584000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,267543722;8,913E-08;68,02521;1,31E-09;15,668554
45;1419120000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,26629864;8,913E-08;68,02521;1,31E-09;15,771864
46;1450656000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,265086529;8,913E-08;68,02521;1,31E-09;15,873562
47;1482192000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,263905828;8,913E-08;68,02521;1,31E-09;15,973707
48;1513728000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,262755079;8,913E-08;68,02521;1,31E-09;16,072356
49;1545264000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,261632923;8,913E-08;68,02521;1,31E-09;16,169561
50;1576800000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,260538087;8,913E-08;68,02521;1,31E-09;16,265373
51;1608336000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,259469378;8,913E-08;68,02521;1,31E-09;16,359838
52;1639872000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,258425679;8,913E-08;68,02521;1,31E-09;16,453002
53;1671408000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,257405941;8,913E-08;68,02521;1,31E-09;16,544906
54;1702944000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,256409176;8,913E-08;68,02521;1,31E-09;16,635592
55;1734480000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,255434455;8,913E-08;68,02521;1,31E-09;16,725097
56;1766016000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,254480904;8,913E-08;68,02521;1,31E-09;16,813457
57;1797552000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,253547697;8,913E-08;68,02521;1,31E-09;16,900708
58;1829088000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,252634054;8,913E-08;68,02521;1,31E-09;16,986883
59;1860624000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,251739237;8,913E-08;68,02521;1,31E-09;17,072013
60;1892160000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,250862551;8,913E-08;68,02521;1,31E-09;17,156128
